Case_ID,Incident_Date,Location,Suspect_Age,Heart_Attack_Time,Witness_Count,Crime_Type,Status,Suspect_Gender,Time_of_Day,Evidence_Collected,Severity_Level,Location_Description
DN021,21-01-2024,Kanto,58,01-01-2024 14:56,6,Theft,Closed,Female,Evening,No,Low,"A public park, where many gather and observe"
DN022,22-01-2024,Osaka,50,01-01-2024 21:35,5,Murder,Closed,Female,Evening,Yes,High,"A busy district, filled with potential witnesses"
DN023,23-01-2024,Shinjuku,57,01-01-2024 20:12,,Assault,Closed,Male,Night,No,High,"A dark alley, where shadows linger"
DN024,24-01-2024,Tokyo,56,01-01-2024 11:43,5,Fraud,Pending,Female,Evening,No,Medium,"An abandoned building, rumored to be haunted"
DN025,25-01-2024,Tokyo,35,01-01-2024 09:40,5,Theft,Open,Female,Evening,Yes,Medium,"A public park, where many gather and observe"
DN026,26-01-2024,Shibuya,57,01-01-2024 13:09,4,Vandalism,Open,Male,Night,Yes,High,"A school, where students are unaware of the danger"
DN027,27-01-2024,Shibuya,18,01-01-2024 14:20,3,Assault,Pending,Female,Morning,No,High,"An abandoned building, rumored to be haunted"
DN028,28-01-2024,Kanto,28,01-01-2024 04:06,3,Murder,Closed,Female,Night,Yes,Low,"Home of a detective, where mysteries unfold"
DN029,29-01-2024,Shinjuku,45,01-01-2024 18:19,4,Assault,Pending,Male,Morning,No,Low,"A busy district, filled with potential witnesses"
DN030,30-01-2024,Shinjuku,42,01-01-2024 02:33,9,Theft,Pending,Male,Afternoon,No,Medium,"A bustling area, often a target for Kira"
DN031,31-01-2024,Shibuya,40,01-01-2024 16:36,2,Murder,Pending,Male,Morning,No,High,"An abandoned building, rumored to be haunted"
DN032,01-02-2024,Shinjuku,48,01-01-2024 18:29,9,Fraud,Open,Female,Morning,No,Medium,"A public park, where many gather and observe"
DN033,02-02-2024,Shinjuku,47,01-01-2024 11:36,1,Assault,Pending,Female,Afternoon,Yes,High,"Home of a detective, where mysteries unfold"
DN034,03-02-2024,Tokyo,59,01-01-2024 21:48,1,Theft,Open,Female,Morning,Yes,Low,"A quiet neighborhood, hiding secrets"
DN035,04-02-2024,Shibuya,52,01-01-2024 20:43,5,Vandalism,Open,Male,Night,Yes,Medium,"Home of a detective, where mysteries unfold"
DN036,05-02-2024,Osaka,24,01-01-2024 18:12,6,Murder,Open,Male,Morning,Yes,Medium,"Home of a detective, where mysteries unfold"
DN037,06-02-2024,Shibuya,33,01-01-2024 17:50,6,Assault,Closed,Female,Afternoon,No,High,"A busy district, filled with potential witnesses"
DN038,07-02-2024,Osaka,43,01-01-2024 16:48,3,Assault,Open,Female,Night,No,Low,"A bustling area, often a target for Kira"
DN039,08-02-2024,Tokyo,19,01-01-2024 01:33,7,Fraud,Open,Male,Afternoon,Yes,Medium,"A quiet neighborhood, hiding secrets"
DN040,09-02-2024,Kanto,18,01-01-2024 15:57,9,Fraud,Closed,Male,Afternoon,No,Low,"A dark alley, where shadows linger"
DN041,10-02-2024,Shinjuku,29,01-01-2024 16:51,8,Vandalism,Open,Male,Evening,No,Medium,"A dark alley, where shadows linger"
DN042,11-02-2024,Tokyo,22,01-01-2024 07:32,6,Vandalism,Pending,Male,Evening,No,Low,"An abandoned building, rumored to be haunted"
DN043,12-02-2024,Shinjuku,54,01-01-2024 20:27,8,Theft,Pending,Female,Afternoon,Yes,High,"Home of a detective, where mysteries unfold"
DN044,13-02-2024,Kanto,49,01-01-2024 15:11,5,Theft,Open,Male,Afternoon,Yes,Medium,"A school, where students are unaware of the danger"
DN045,14-02-2024,Kanto,26,01-01-2024 03:37,8,Vandalism,Closed,Female,Afternoon,Yes,Medium,"A busy district, filled with potential witnesses"
DN046,15-02-2024,Tokyo,58,01-01-2024 07:53,4,Vandalism,Pending,Female,Evening,No,Low,"A school, where students are unaware of the danger"
DN047,16-02-2024,Kanto,52,01-01-2024 07:11,8,Murder,Closed,Female,Evening,Yes,Low,"A busy district, filled with potential witnesses"
DN048,17-02-2024,Osaka,36,01-01-2024 05:40,2,Fraud,Closed,Male,Morning,Yes,Medium,"A dark alley, where shadows linger"
DN049,18-02-2024,Kanto,33,01-01-2024 09:10,5,Theft,Pending,Male,Morning,Yes,High,"An abandoned building, rumored to be haunted"
DN050,19-02-2024,Shinjuku,20,01-01-2024 21:52,9,Fraud,Closed,Male,Afternoon,Yes,Low,"An abandoned building, rumored to be haunted"
DN051,20-02-2024,Shinjuku,37,01-01-2024 21:17,4,Fraud,Pending,Male,Night,Yes,Low,"An abandoned building, rumored to be haunted"
DN052,21-02-2024,Shinjuku,41,01-01-2024 05:56,6,Vandalism,Closed,Female,Night,Yes,Low,"A quiet neighborhood, hiding secrets"
DN053,22-02-2024,Shinjuku,50,01-01-2024 00:22,1,Murder,Pending,Male,Evening,No,Medium,"A bustling area, often a target for Kira"
DN054,23-02-2024,Osaka,41,01-01-2024 08:41,9,Assault,Open,Male,Evening,No,Medium,"A quiet neighborhood, hiding secrets"
DN055,24-02-2024,Shibuya,28,01-01-2024 18:43,1,Murder,Pending,Female,Evening,Yes,Medium,"A public park, where many gather and observe"
DN056,25-02-2024,Tokyo,25,01-01-2024 13:21,5,Murder,Pending,Male,Afternoon,Yes,Medium,"A public park, where many gather and observe"
DN057,26-02-2024,Shinjuku,53,01-01-2024 20:03,4,Fraud,Pending,Female,Night,No,High,"A school, where students are unaware of the danger"
DN058,27-02-2024,Kanto,55,01-01-2024 20:46,3,Murder,Pending,Female,Morning,No,High,"A bustling area, often a target for Kira"
DN059,28-02-2024,Shinjuku,57,01-01-2024 12:41,6,Theft,Closed,Female,Afternoon,Yes,Medium,"A dark alley, where shadows linger"
DN060,29-02-2024,Kanto,37,01-01-2024 07:21,2,Fraud,Open,Female,Morning,Yes,High,"A bustling area, often a target for Kira"
DN061,01-03-2024,Kanto,52,01-01-2024 12:48,3,Theft,Pending,Female,Morning,Yes,Low,"A busy district, filled with potential witnesses"
DN062,02-03-2024,Shinjuku,42,01-01-2024 16:55,5,Assault,Closed,Female,Afternoon,Yes,Low,"A public park, where many gather and observe"
DN063,03-03-2024,Osaka,,01-01-2024 22:28,9,Fraud,Open,Female,Morning,No,Low,"Home of a detective, where mysteries unfold"
DN064,04-03-2024,Kanto,42,01-01-2024 08:35,2,Assault,Open,Female,Night,Yes,Medium,"Home of a detective, where mysteries unfold"
DN065,05-03-2024,Kanto,46,01-01-2024 17:19,8,Fraud,Open,Male,Morning,Yes,Low,"A dark alley, where shadows linger"
DN066,06-03-2024,Shinjuku,35,01-01-2024 13:11,2,Vandalism,Open,Male,Night,Yes,High,"A busy district, filled with potential witnesses"
DN067,07-03-2024,Kanto,63,01-01-2024 05:35,5,Murder,Pending,Male,Night,Yes,Medium,"A school, where students are unaware of the danger"
DN068,08-03-2024,Kanto,35,,7,Vandalism,Pending,Male,Night,No,High,"A quiet neighborhood, hiding secrets"
DN069,09-03-2024,Shinjuku,19,01-01-2024 08:16,8,Assault,Closed,Female,Evening,No,Low,"A busy district, filled with potential witnesses"
DN070,10-03-2024,Shinjuku,52,01-01-2024 14:55,1,Murder,Closed,Male,Morning,No,Low,"Home of a detective, where mysteries unfold"
DN071,11-03-2024,Tokyo,33,01-01-2024 02:39,6,Fraud,Closed,Female,Afternoon,Yes,Low,"Home of a detective, where mysteries unfold"
DN072,12-03-2024,Osaka,58,01-01-2024 14:11,1,Murder,Open,Male,Afternoon,Yes,Medium,"A school, where students are unaware of the danger"
DN073,13-03-2024,Osaka,,01-01-2024 11:29,2,Theft,Open,Male,Morning,No,High,"A public park, where many gather and observe"
DN074,14-03-2024,Kanto,50,01-01-2024 06:19,1,Murder,Pending,Male,Evening,Yes,Medium,"A busy district, filled with potential witnesses"
DN075,15-03-2024,Osaka,21,01-01-2024 15:56,5,Theft,Open,Female,Evening,Yes,Medium,"A busy district, filled with potential witnesses"
DN076,16-03-2024,Kanto,50,01-01-2024 11:30,9,Murder,Open,Male,Night,No,Low,"Home of a detective, where mysteries unfold"
DN077,17-03-2024,Tokyo,31,,6,Theft,Open,Female,Morning,No,Medium,"A quiet neighborhood, hiding secrets"
DN078,18-03-2024,Shinjuku,38,01-01-2024 19:51,1,Assault,Closed,Female,Morning,No,Medium,"A dark alley, where shadows linger"
DN079,19-03-2024,Shinjuku,37,01-01-2024 17:46,1,Vandalism,Closed,Male,Afternoon,No,Low,"An abandoned building, rumored to be haunted"
DN080,20-03-2024,Shinjuku,25,01-01-2024 04:44,2,Fraud,Pending,Male,Morning,Yes,Medium,"A dark alley, where shadows linger"
DN081,21-03-2024,Osaka,24,01-01-2024 06:36,9,Murder,Open,Male,Evening,Yes,Low,"A busy district, filled with potential witnesses"
DN082,22-03-2024,Tokyo,20,01-01-2024 00:11,,Vandalism,Open,Female,Morning,No,Low,"A dark alley, where shadows linger"
DN083,23-03-2024,Osaka,34,01-01-2024 22:05,1,Fraud,Pending,Male,Afternoon,Yes,Low,"Home of a detective, where mysteries unfold"
DN084,24-03-2024,Osaka,50,01-01-2024 21:16,5,Fraud,Open,Female,Night,No,Low,"Home of a detective, where mysteries unfold"
DN085,25-03-2024,Tokyo,29,01-01-2024 08:18,7,Theft,Open,Female,Afternoon,No,Medium,"A school, where students are unaware of the danger"
DN086,26-03-2024,Tokyo,39,01-01-2024 12:33,6,Assault,Closed,Male,Afternoon,Yes,Low,"A busy district, filled with potential witnesses"
DN087,27-03-2024,Tokyo,39,01-01-2024 00:34,1,Assault,Pending,Male,Night,No,Low,"A school, where students are unaware of the danger"
DN088,28-03-2024,Tokyo,63,01-01-2024 12:06,5,Vandalism,Pending,Female,Afternoon,Yes,Medium,"A busy district, filled with potential witnesses"
DN089,29-03-2024,Shinjuku,,01-01-2024 14:08,5,Assault,Pending,Female,Afternoon,Yes,Medium,"An abandoned building, rumored to be haunted"
DN090,30-03-2024,Shibuya,55,01-01-2024 01:29,6,Murder,Pending,Female,Morning,Yes,High,"An abandoned building, rumored to be haunted"
DN091,31-03-2024,Shibuya,55,01-01-2024 12:55,3,Assault,Closed,Male,Morning,Yes,Medium,"A public park, where many gather and observe"
DN092,01-04-2024,Tokyo,62,01-01-2024 10:04,5,Vandalism,Closed,Female,Night,No,Medium,"A busy district, filled with potential witnesses"
DN093,02-04-2024,Shibuya,25,01-01-2024 16:09,7,Assault,Open,Male,Morning,Yes,High,"A quiet neighborhood, hiding secrets"
DN094,03-04-2024,Shibuya,44,01-01-2024 17:01,5,Murder,Open,Female,Morning,No,Medium,"A dark alley, where shadows linger"
DN095,04-04-2024,Tokyo,44,01-01-2024 06:57,5,Theft,Open,Female,Afternoon,No,Medium,"A busy district, filled with potential witnesses"
DN096,05-04-2024,Shibuya,51,01-01-2024 01:54,5,Vandalism,Open,Male,Evening,No,Medium,"A bustling area, often a target for Kira"
DN097,06-04-2024,Osaka,38,01-01-2024 10:16,3,Theft,Closed,Female,Morning,No,Medium,"A public park, where many gather and observe"
DN098,07-04-2024,Kanto,47,,1,Theft,Pending,Male,Evening,Yes,High,"A bustling area, often a target for Kira"
DN099,08-04-2024,Kanto,50,01-01-2024 13:45,5,Theft,Closed,Male,Morning,Yes,Medium,"Home of a detective, where mysteries unfold"
DN100,09-04-2024,Tokyo,45,01-01-2024 18:18,9,Fraud,Open,Female,Morning,No,Medium,"An abandoned building, rumored to be haunted"
DN101,10-04-2024,Shinjuku,64,01-01-2024 06:52,1,Fraud,Closed,Male,Night,No,High,"A dark alley, where shadows linger"
DN102,11-04-2024,Tokyo,50,01-01-2024 23:19,,Theft,Pending,Male,Night,Yes,Low,"A busy district, filled with potential witnesses"
DN103,12-04-2024,Shinjuku,22,01-01-2024 12:08,4,Vandalism,Pending,Female,Night,No,High,"A bustling area, often a target for Kira"
DN104,13-04-2024,Kanto,36,01-01-2024 21:40,1,Murder,Closed,Male,Evening,Yes,Low,"A dark alley, where shadows linger"
DN105,14-04-2024,Tokyo,21,01-01-2024 17:00,1,Murder,Closed,Male,Afternoon,No,High,"Home of a detective, where mysteries unfold"
DN106,15-04-2024,Osaka,52,01-01-2024 12:40,8,Assault,Closed,Male,Morning,Yes,High,"An abandoned building, rumored to be haunted"
DN107,16-04-2024,Shibuya,34,01-01-2024 11:15,2,Vandalism,Open,Female,Morning,No,Medium,"A quiet neighborhood, hiding secrets"
DN108,17-04-2024,Shinjuku,61,01-01-2024 23:37,8,Fraud,Closed,Male,Morning,No,Low,"A public park, where many gather and observe"
DN109,18-04-2024,Shibuya,45,01-01-2024 07:36,7,Theft,Closed,Female,Evening,Yes,Medium,"A dark alley, where shadows linger"
DN110,19-04-2024,Shibuya,47,01-01-2024 15:19,2,Assault,Closed,Female,Night,No,Low,"A dark alley, where shadows linger"
DN111,20-04-2024,Tokyo,46,01-01-2024 03:11,6,Murder,Pending,Male,Afternoon,No,High,"A quiet neighborhood, hiding secrets"
DN112,21-04-2024,Shibuya,63,01-01-2024 12:18,6,Fraud,Pending,Male,Evening,Yes,High,"A dark alley, where shadows linger"
DN113,22-04-2024,Osaka,23,01-01-2024 18:42,3,Fraud,Open,Male,Night,No,Low,"Home of a detective, where mysteries unfold"
DN114,23-04-2024,Shibuya,52,01-01-2024 16:17,2,Theft,Open,Female,Evening,Yes,Medium,"Home of a detective, where mysteries unfold"
DN115,24-04-2024,Tokyo,58,01-01-2024 16:48,1,Murder,Pending,Male,Afternoon,Yes,Medium,"A quiet neighborhood, hiding secrets"
DN116,25-04-2024,Osaka,54,01-01-2024 01:35,6,Vandalism,Pending,Male,Night,No,Medium,"A public park, where many gather and observe"
DN117,26-04-2024,Kanto,41,01-01-2024 11:02,5,Fraud,Pending,Male,Evening,No,Medium,"A busy district, filled with potential witnesses"
DN118,27-04-2024,Shibuya,46,01-01-2024 20:13,9,Theft,Closed,Male,Afternoon,No,High,"A bustling area, often a target for Kira"
DN119,28-04-2024,Tokyo,63,01-01-2024 00:36,1,Vandalism,Closed,Male,Morning,No,High,"A busy district, filled with potential witnesses"
DN120,29-04-2024,Kanto,48,01-01-2024 23:12,7,Murder,Pending,Female,Afternoon,No,High,"A dark alley, where shadows linger"
DN121,30-04-2024,Kanto,52,01-01-2024 04:38,5,Fraud,Closed,Female,Morning,No,High,"A bustling area, often a target for Kira"
DN122,01-05-2024,Shinjuku,50,01-01-2024 03:36,5,Vandalism,Closed,Male,Evening,No,High,"A school, where students are unaware of the danger"
DN123,02-05-2024,Osaka,38,01-01-2024 14:26,2,Vandalism,Open,Male,Night,Yes,Medium,"A quiet neighborhood, hiding secrets"
DN124,03-05-2024,Shibuya,49,01-01-2024 14:32,3,Vandalism,Pending,Male,Night,No,Medium,"A quiet neighborhood, hiding secrets"
DN125,04-05-2024,Tokyo,40,,7,Fraud,Pending,Male,Evening,Yes,Medium,"A public park, where many gather and observe"
DN126,05-05-2024,Shinjuku,50,01-01-2024 01:01,6,Fraud,Closed,Female,Night,No,Medium,"A bustling area, often a target for Kira"
DN127,06-05-2024,Osaka,20,01-01-2024 09:55,2,Assault,Pending,Male,Night,No,High,"Home of a detective, where mysteries unfold"
DN128,07-05-2024,Shinjuku,35,01-01-2024 12:08,6,Murder,Open,Female,Morning,Yes,High,"A bustling area, often a target for Kira"
DN129,08-05-2024,Osaka,42,01-01-2024 22:45,2,Theft,Open,Female,Evening,No,High,"A dark alley, where shadows linger"
DN130,09-05-2024,Osaka,59,01-01-2024 06:36,2,Vandalism,Open,Male,Afternoon,No,Low,"Home of a detective, where mysteries unfold"
DN131,10-05-2024,Shibuya,48,01-01-2024 11:38,2,Assault,Pending,Female,Morning,Yes,Medium,"An abandoned building, rumored to be haunted"
DN132,11-05-2024,Osaka,20,01-01-2024 17:22,,Theft,Pending,Female,Evening,No,Medium,"An abandoned building, rumored to be haunted"
DN133,12-05-2024,Shinjuku,57,01-01-2024 02:56,2,Assault,Pending,Female,Morning,No,High,"A school, where students are unaware of the danger"
DN134,13-05-2024,Osaka,63,01-01-2024 06:35,4,Fraud,Pending,Female,Afternoon,No,Medium,"An abandoned building, rumored to be haunted"
DN135,14-05-2024,Shibuya,41,01-01-2024 07:24,9,Vandalism,Pending,Male,Afternoon,Yes,Medium,"A quiet neighborhood, hiding secrets"
DN136,15-05-2024,Shibuya,49,01-01-2024 20:56,6,Theft,Open,Male,Evening,No,High,"A bustling area, often a target for Kira"
DN137,16-05-2024,Shinjuku,64,01-01-2024 01:15,1,Theft,Closed,Female,Afternoon,No,Low,"An abandoned building, rumored to be haunted"
DN138,17-05-2024,Kanto,39,01-01-2024 04:24,8,Theft,Open,Male,Morning,No,Low,"A busy district, filled with potential witnesses"
DN139,18-05-2024,Kanto,40,01-01-2024 07:34,7,Theft,Pending,Male,Afternoon,No,Low,"A public park, where many gather and observe"
DN140,19-05-2024,Osaka,19,01-01-2024 11:57,3,Theft,Open,Male,Morning,Yes,High,"A busy district, filled with potential witnesses"
DN141,20-05-2024,Tokyo,44,01-01-2024 12:14,,Assault,Pending,Male,Morning,Yes,Medium,"An abandoned building, rumored to be haunted"
DN142,21-05-2024,Osaka,59,01-01-2024 23:27,5,Vandalism,Pending,Male,Afternoon,No,High,"A school, where students are unaware of the danger"
DN143,22-05-2024,Shinjuku,19,01-01-2024 14:10,4,Fraud,Open,Female,Evening,No,High,"A public park, where many gather and observe"
DN144,23-05-2024,Shinjuku,43,01-01-2024 23:10,8,Fraud,Pending,Male,Night,Yes,Medium,"A dark alley, where shadows linger"
DN145,24-05-2024,Shinjuku,34,01-01-2024 02:23,1,Fraud,Closed,Male,Afternoon,Yes,Low,"A busy district, filled with potential witnesses"
DN146,25-05-2024,Shinjuku,57,01-01-2024 14:44,1,Fraud,Pending,Male,Morning,No,Low,"A school, where students are unaware of the danger"
DN147,26-05-2024,Shinjuku,50,01-01-2024 18:12,4,Assault,Closed,Male,Morning,Yes,High,"A bustling area, often a target for Kira"
DN148,27-05-2024,Shibuya,26,01-01-2024 18:42,8,Murder,Closed,Female,Afternoon,No,Low,"A bustling area, often a target for Kira"
DN149,28-05-2024,Kanto,60,01-01-2024 06:35,5,Vandalism,Pending,Female,Evening,Yes,High,"A busy district, filled with potential witnesses"
DN150,29-05-2024,Shinjuku,56,01-01-2024 17:28,2,Theft,Open,Female,Evening,Yes,High,"An abandoned building, rumored to be haunted"
DN151,30-05-2024,Tokyo,46,01-01-2024 15:47,6,Murder,Closed,Female,Morning,Yes,Medium,"A school, where students are unaware of the danger"
DN152,31-05-2024,Tokyo,59,01-01-2024 14:50,5,Fraud,Open,Male,Morning,Yes,Medium,"A bustling area, often a target for Kira"
DN153,01-06-2024,Tokyo,43,01-01-2024 19:34,2,Murder,Closed,Female,Evening,No,Medium,"A dark alley, where shadows linger"
DN154,02-06-2024,Tokyo,52,01-01-2024 19:27,3,Vandalism,Pending,Male,Night,Yes,High,"Home of a detective, where mysteries unfold"
DN155,03-06-2024,Shibuya,42,01-01-2024 09:28,9,Theft,Pending,Male,Afternoon,Yes,Medium,"An abandoned building, rumored to be haunted"
DN156,04-06-2024,Tokyo,41,01-01-2024 17:42,7,Theft,Closed,Male,Morning,No,Low,"A school, where students are unaware of the danger"
DN157,05-06-2024,Shinjuku,30,01-01-2024 01:48,7,Vandalism,Pending,Male,Morning,Yes,Low,"A dark alley, where shadows linger"
DN158,06-06-2024,Osaka,24,01-01-2024 17:45,6,Vandalism,Closed,Male,Evening,Yes,High,"A school, where students are unaware of the danger"
DN159,07-06-2024,Tokyo,53,,8,Fraud,Pending,Female,Afternoon,No,High,"A public park, where many gather and observe"
DN160,08-06-2024,Shibuya,62,01-01-2024 15:34,4,Theft,Open,Female,Evening,Yes,Medium,"A dark alley, where shadows linger"
DN161,09-06-2024,Shibuya,,01-01-2024 06:37,8,Murder,Pending,Female,Afternoon,No,High,"An abandoned building, rumored to be haunted"
DN162,10-06-2024,Tokyo,18,01-01-2024 20:46,4,Assault,Open,Female,Afternoon,No,High,"A public park, where many gather and observe"
DN163,11-06-2024,Osaka,25,01-01-2024 10:33,8,Assault,Pending,Male,Afternoon,No,Low,"An abandoned building, rumored to be haunted"
DN164,12-06-2024,Tokyo,63,01-01-2024 19:16,9,Vandalism,Open,Female,Morning,No,Low,"A bustling area, often a target for Kira"
DN165,13-06-2024,Shibuya,33,01-01-2024 19:46,3,Fraud,Pending,Male,Night,Yes,Medium,"Home of a detective, where mysteries unfold"
DN166,14-06-2024,Kanto,31,01-01-2024 20:38,3,Assault,Open,Female,Evening,No,High,"An abandoned building, rumored to be haunted"
DN167,15-06-2024,Shinjuku,29,01-01-2024 12:12,2,Theft,Closed,Male,Night,Yes,High,"An abandoned building, rumored to be haunted"
DN168,16-06-2024,Shibuya,40,01-01-2024 03:54,3,Vandalism,Closed,Male,Evening,Yes,Low,"A bustling area, often a target for Kira"
DN169,17-06-2024,Tokyo,,01-01-2024 10:57,3,Murder,Open,Female,Afternoon,Yes,High,"A quiet neighborhood, hiding secrets"
DN170,18-06-2024,Shinjuku,45,01-01-2024 12:30,5,Vandalism,Pending,Male,Morning,Yes,Low,"A bustling area, often a target for Kira"
DN171,19-06-2024,Tokyo,51,01-01-2024 09:47,5,Murder,Open,Male,Night,Yes,Medium,"A public park, where many gather and observe"
DN172,20-06-2024,Tokyo,19,01-01-2024 17:12,2,Vandalism,Pending,Female,Morning,Yes,Low,"A bustling area, often a target for Kira"
DN173,21-06-2024,Kanto,49,01-01-2024 18:17,6,Vandalism,Closed,Male,Evening,Yes,High,"A bustling area, often a target for Kira"
DN174,22-06-2024,Shinjuku,40,01-01-2024 15:53,5,Vandalism,Pending,Female,Morning,Yes,Medium,"Home of a detective, where mysteries unfold"
DN175,23-06-2024,Shinjuku,39,01-01-2024 08:11,6,Murder,Closed,Female,Morning,Yes,Low,"A bustling area, often a target for Kira"
DN176,24-06-2024,Kanto,,01-01-2024 15:12,1,Murder,Pending,Female,Night,Yes,Low,"A school, where students are unaware of the danger"
DN177,25-06-2024,Shibuya,39,01-01-2024 21:16,5,Vandalism,Pending,Male,Afternoon,No,Medium,"An abandoned building, rumored to be haunted"
DN178,26-06-2024,Tokyo,39,01-01-2024 20:53,9,Assault,Pending,Male,Morning,No,Medium,"A school, where students are unaware of the danger"
DN179,27-06-2024,Osaka,59,01-01-2024 19:57,2,Fraud,Open,Male,Afternoon,No,Low,"Home of a detective, where mysteries unfold"
DN180,28-06-2024,Tokyo,23,01-01-2024 19:51,1,Fraud,Open,Female,Evening,Yes,High,"A busy district, filled with potential witnesses"
DN181,29-06-2024,Tokyo,32,01-01-2024 02:49,9,Fraud,Closed,Male,Morning,No,Low,"A quiet neighborhood, hiding secrets"
DN182,30-06-2024,Shibuya,60,01-01-2024 23:36,9,Murder,Closed,Female,Night,No,Medium,"A school, where students are unaware of the danger"
DN183,01-07-2024,Tokyo,54,01-01-2024 15:45,9,Murder,Open,Female,Evening,No,Low,"Home of a detective, where mysteries unfold"
DN184,02-07-2024,Kanto,50,01-01-2024 13:14,6,Assault,Closed,Male,Evening,Yes,Medium,"A public park, where many gather and observe"
DN185,03-07-2024,Kanto,25,01-01-2024 10:33,8,Fraud,Open,Female,Night,Yes,Medium,"A busy district, filled with potential witnesses"
DN186,04-07-2024,Shinjuku,61,01-01-2024 20:17,1,Fraud,Pending,Male,Morning,Yes,High,"Home of a detective, where mysteries unfold"
DN187,05-07-2024,Osaka,61,01-01-2024 00:28,4,Vandalism,Closed,Male,Morning,Yes,Medium,"Home of a detective, where mysteries unfold"
DN188,06-07-2024,Tokyo,22,01-01-2024 19:48,1,Murder,Closed,Male,Evening,No,Medium,"A quiet neighborhood, hiding secrets"
DN189,07-07-2024,Tokyo,56,01-01-2024 05:38,8,Fraud,Open,Male,Morning,No,High,"An abandoned building, rumored to be haunted"
DN190,08-07-2024,Shibuya,21,01-01-2024 23:08,1,Assault,Closed,Male,Afternoon,No,Medium,"A school, where students are unaware of the danger"
DN191,09-07-2024,Kanto,23,01-01-2024 22:45,3,Assault,Closed,Female,Night,No,High,"A public park, where many gather and observe"
DN192,10-07-2024,Osaka,,01-01-2024 08:19,4,Fraud,Pending,Female,Afternoon,Yes,High,"A dark alley, where shadows linger"
DN193,11-07-2024,Shinjuku,49,01-01-2024 08:30,8,Murder,Closed,Female,Morning,Yes,Medium,"A school, where students are unaware of the danger"
DN194,12-07-2024,Kanto,47,01-01-2024 22:30,6,Assault,Pending,Male,Evening,Yes,Medium,"A dark alley, where shadows linger"
DN195,13-07-2024,Shinjuku,64,01-01-2024 03:36,7,Vandalism,Open,Male,Night,No,Low,"Home of a detective, where mysteries unfold"
DN196,14-07-2024,Shibuya,52,01-01-2024 22:04,8,Assault,Closed,Male,Morning,Yes,High,"A bustling area, often a target for Kira"
DN197,15-07-2024,Shibuya,57,01-01-2024 19:15,2,Theft,Pending,Female,Morning,Yes,Low,"A public park, where many gather and observe"
DN198,16-07-2024,Tokyo,,01-01-2024 18:13,,Theft,Open,Male,Evening,No,Medium,"A busy district, filled with potential witnesses"
